epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,426.014,0.62808,0.34222,0.93595,0.96692,0.98975,0.995,0.76147,0.97571,0.37466,1.22994,0.000167745,0.000167745,0.000167745
59,433.329,0.62417,0.33606,0.93858,0.96766,0.99264,0.995,0.7494,1.01143,0.36998,1.2485,0.000163933,0.000163933,0.000163933
60,440.585,0.61695,0.33299,0.9359,0.97709,0.99489,0.995,0.76584,1.00213,0.3586,1.25135,0.000160122,0.000160122,0.000160122
61,447.688,0.5886,0.32959,0.9197,0.96322,0.98871,0.995,0.77609,0.91711,0.35977,1.16898,0.00015631,0.00015631,0.00015631
62,454.895,0.59696,0.33436,0.92318,0.97431,0.99153,0.995,0.76172,0.96299,0.37833,1.17526,0.000152498,0.000152498,0.000152498
63,462.013,0.60317,0.32953,0.91591,0.97092,1,0.995,0.77761,0.89548,0.38374,1.08635,0.000148687,0.000148687,0.000148687
64,469.254,0.58117,0.31989,0.9115,0.96286,0.991,0.995,0.76002,0.90738,0.38922,1.07685,0.000144875,0.000144875,0.000144875
65,476.267,0.5918,0.3203,0.9178,0.97972,1,0.995,0.75618,0.91588,0.40207,1.08331,0.000141064,0.000141064,0.000141064
66,483.604,0.59258,0.33205,0.9258,0.97118,1,0.995,0.77392,0.92357,0.36218,1.08344,0.000137252,0.000137252,0.000137252
67,491.238,0.58208,0.32172,0.90919,0.97251,1,0.995,0.76889,0.90195,0.39028,1.08487,0.000133441,0.000133441,0.000133441
68,498.519,0.60077,0.32467,0.91838,0.92306,0.95238,0.95571,0.75511,0.94785,0.3572,1.15056,0.000129629,0.000129629,0.000129629
69,506.122,0.57525,0.32085,0.91758,0.97334,0.99988,0.995,0.78142,0.93559,0.34658,1.15429,0.000125818,0.000125818,0.000125818
70,513.539,0.57027,0.30883,0.9121,0.97595,1,0.995,0.766,0.90886,0.37829,1.0818,0.000122007,0.000122007,0.000122007
71,521.051,0.59251,0.32169,0.9179,0.96414,0.99557,0.995,0.77969,0.97031,0.37022,1.13152,0.000118195,0.000118195,0.000118195
72,528.316,0.58696,0.32113,0.9236,0.97182,1,0.995,0.76202,0.93403,0.35191,1.11313,0.000114384,0.000114384,0.000114384
73,535.571,0.56994,0.3099,0.90682,0.97599,1,0.995,0.76883,0.89675,0.36596,1.08536,0.000110572,0.000110572,0.000110572
74,542.944,0.5621,0.30971,0.90849,0.97827,1,0.995,0.77033,0.8749,0.35057,1.06749,0.000106761,0.000106761,0.000106761
75,550.322,0.56072,0.30918,0.91335,0.96677,1,0.995,0.77308,0.86838,0.36008,1.07334,0.000102949,0.000102949,0.000102949
76,557.698,0.56047,0.3105,0.90895,0.88954,0.94622,0.93976,0.76762,0.88694,0.3683,1.08763,9.91375e-05,9.91375e-05,9.91375e-05
77,564.969,0.54382,0.302,0.90203,0.96615,0.96876,0.995,0.76839,0.93218,0.36876,1.13245,9.5326e-05,9.5326e-05,9.5326e-05
78,572.399,0.52404,0.29101,0.89727,0.94545,0.99107,0.995,0.76083,0.92429,0.38971,1.10137,9.15145e-05,9.15145e-05,9.15145e-05
79,579.706,0.55137,0.30213,0.9055,0.94968,0.993,0.995,0.76125,0.9087,0.38385,1.08073,8.7703e-05,8.7703e-05,8.7703e-05
80,587.202,0.54279,0.30147,0.89817,0.97901,1,0.995,0.77823,0.90922,0.37786,1.09648,8.38915e-05,8.38915e-05,8.38915e-05
81,594.592,0.5253,0.29,0.89326,0.97971,1,0.995,0.77575,0.90621,0.374,1.08386,8.008e-05,8.008e-05,8.008e-05
82,601.976,0.53842,0.29703,0.9037,0.97889,1,0.995,0.77186,0.92494,0.36595,1.1014,7.62685e-05,7.62685e-05,7.62685e-05
83,609.281,0.52879,0.29184,0.89817,0.96572,0.99449,0.995,0.78125,0.90802,0.36415,1.09775,7.2457e-05,7.2457e-05,7.2457e-05
84,616.833,0.52883,0.28997,0.89605,0.9596,1,0.995,0.77398,0.89632,0.36317,1.08497,6.86455e-05,6.86455e-05,6.86455e-05
85,624.222,0.51696,0.28912,0.89862,0.95936,1,0.995,0.77814,0.89436,0.37119,1.08473,6.4834e-05,6.4834e-05,6.4834e-05
86,631.685,0.52456,0.29257,0.89704,0.9584,1,0.995,0.76884,0.88342,0.36314,1.06843,6.10225e-05,6.10225e-05,6.10225e-05
87,639.109,0.50716,0.28543,0.88765,0.95155,1,0.995,0.76967,0.88135,0.36318,1.06424,5.7211e-05,5.7211e-05,5.7211e-05
88,646.591,0.49979,0.27539,0.8884,0.95512,1,0.995,0.76571,0.88387,0.36319,1.08652,5.33995e-05,5.33995e-05,5.33995e-05
89,653.916,0.51104,0.28271,0.88858,0.95186,1,0.995,0.77999,0.88855,0.3526,1.11114,4.9588e-05,4.9588e-05,4.9588e-05
90,661.58,0.50155,0.2769,0.8759,0.96359,1,0.995,0.7817,0.89569,0.36144,1.10405,4.57765e-05,4.57765e-05,4.57765e-05
91,693.32,0.45987,0.25405,0.85794,0.9571,1,0.995,0.77652,0.91126,0.37463,1.10534,4.1965e-05,4.1965e-05,4.1965e-05
92,700.418,0.45404,0.24708,0.8584,0.95691,0.99012,0.995,0.77226,0.91862,0.36346,1.13328,3.81535e-05,3.81535e-05,3.81535e-05
93,707.56,0.43039,0.24092,0.84485,0.97106,0.99439,0.995,0.76248,0.94832,0.37434,1.15724,3.4342e-05,3.4342e-05,3.4342e-05
94,714.673,0.41403,0.23562,0.83934,0.96863,0.99253,0.995,0.75022,0.93575,0.3591,1.15134,3.05305e-05,3.05305e-05,3.05305e-05
95,721.614,0.4006,0.22736,0.83973,0.96628,0.98929,0.995,0.74808,0.92652,0.34061,1.14501,2.6719e-05,2.6719e-05,2.6719e-05
96,728.738,0.40116,0.22979,0.83698,0.96727,0.9969,0.995,0.7603,0.92236,0.33752,1.14463,2.29075e-05,2.29075e-05,2.29075e-05
97,735.859,0.41062,0.22994,0.83866,0.96754,1,0.995,0.76482,0.92411,0.33866,1.14421,1.9096e-05,1.9096e-05,1.9096e-05
98,743.15,0.40197,0.22777,0.84173,0.96657,0.99519,0.995,0.75532,0.92104,0.34266,1.14158,1.52845e-05,1.52845e-05,1.52845e-05
99,750.293,0.40206,0.22892,0.84228,0.96607,0.99269,0.995,0.75215,0.92362,0.34097,1.14378,1.1473e-05,1.1473e-05,1.1473e-05
100,757.488,0.39362,0.22203,0.83977,0.96564,0.99205,0.995,0.75251,0.92489,0.33961,1.14648,7.6615e-06,7.6615e-06,7.6615e-06
